FID,C_Nus,Coord_X,Coord_Y
451,N00515Y,431264.21,4.582.113.656
452,N00516Z,431.306.318,4.582.159.571
453,N00517A,431.321.558,4.582.174.052
454,N00518B,431.335.377,4582070.59
455,N00519C,431.194.537,4.582.032.465
456,N00520V,431.230.561,4.582.070.308
457,N00521W,431.297.754,4.582.013.867
458,N00522X,431.326.994,4.581.990.459
459,N00523Y,431.338.334,4.582.003.549
460,N00524Z,431.162.815,4.582.063.003
461,N00525A,431.149.756,4.581.999.468
462,N00526B,431.184.718,4.582.023.609
463,N00527C,431.122.382,4.582.030.959
464,N00528D,431068.82,4.582.089.069
465,N00529E,431.246.198,4.581.959.645
466,N00530X,431372.63,4.581.953.801
467,N00531Y,431332.16,4.581.706.556
468,N00532Z,431.315.995,4.581.722.553
469,N00533A,431.309.906,4.581.729.787
470,N00534B,431.281.812,4.581.758.386
471,N00535C,431.247.117,4.581.794.612
472,N00536D,431.185.333,4.581.857.017
473,N00537E,431.285.018,4.581.832.154
474,N00538F,431.341.033,4581771.7
475,N00539G,431358.59,4.581.797.648
476,N00540Z,431369.18,4.581.746.856
477,N00542B,431.346.659,4581692.48
478,N00545E,431.372.303,4.581.814.019
479,N00550B,431.330.554,4.581.814.133
480,N00552D,431.306.287,4.581.824.632
481,N00553E,431.276.651,4.581.840.998
482,N00554F,431.236.747,4.581.883.797
483,N00555G,431.202.643,4.581.918.045
484,N00556H,431.269.853,4.581.913.976
485,N00557I,431.283.688,4.581.927.113
486,N00558J,431313.04,4.581.878.666
487,N00559K,431.333.882,4.581.865.973
488,N00561E,431.324.962,4.581.892.472
489,N00562F,431339.05,4.581.874.156
490,N00564H,431.365.464,4.581.855.404
491,N00567K,431.180.775,4.581.897.068
492,N00572H,431.153.104,4.581.862.039
493,N00573I,431.148.625,4.581.894.606
494,N00574J,431.071.324,4.581.961.557
495,N00575K,431.059.674,4.581.985.797
496,N00576L,431.040.081,4582005
497,N00577M,431.000.797,4.582.045.851
498,N00578N,430.967.018,4.582.079.917
499,N00580H,431.136.776,4.581.993.381
500,N00581I,431.169.292,4.582.011.592
501,N00583K,431.172.438,4.581.951.996
502,N00584L,431168.51,4.581.936.687
503,N00585M,431.008.957,4582112.18
504,N00586N,431.040.409,4.582.070.851
505,N00587O,431.018.107,4582028.18
506,N00588P,431.039.422,4.582.053.771
507,N00589Q,430.715.531,4.582.043.918
508,N00590J,430.766.011,4.582.104.554
509,N00591K,430.794.719,4.582.149.144
510,N00592L,430.897.899,4.582.001.414
511,N00593M,430.869.972,4.581.990.868
512,N00594N,430803.9,4.581.952.689
513,N00595O,430.938.114,4.582.018.449
514,N00596P,430.978.733,4.582.036.625
515,N00597Q,430.917.361,4.581.908.404
516,N00599S,430.965.167,4.581.926.253
517,N00600U,430.985.923,4581980.85
518,N00601V,430.993.716,4.581.939.175
519,N00602W,431.027.974,4.581.881.177
520,N00603X,431.073.665,4.581.922.312
521,N00604Y,431049.84,4.581.863.647
522,N00605Z,431.079.707,4.581.899.913
523,N00607B,431.090.218,4.581.859.428
524,N00608C,431.015.072,4.581.812.795
525,N00609D,431.067.131,4.581.849.115
526,N00610W,430.993.056,4.581.835.008
527,N00611X,430978.73,4.581.860.447
528,N00612Y,430.966.015,4.581.885.209
529,N00613Z,431.012.745,4.581.891.802
530,N00616C,430.922.725,4.581.825.011
531,N00618E,430.874.297,4581882.84
532,N00619F,430.947.159,4.581.780.125
533,N00620Y,430.911.776,4.581.842.124
534,N00621Z,430659.11,4.581.783.513
535,N00622A,430.752.586,4.581.793.103
536,N00624C,430.800.815,4581800.31
537,N00625D,430.840.534,4.581.809.723
538,N00626E,430.851.728,4.581.813.715
539,N00627F,430.736.651,4.581.870.931
540,N00628G,430.751.428,4.581.887.786
541,N00629H,430.750.599,4.581.848.592
542,N00630A,430.833.818,4.581.848.754
543,N00631B,430.814.563,4.581.744.967
544,N00632C,430.862.027,4.581.770.248
545,N00633D,430.779.189,4.581.724.564
546,N00634E,430.906.356,4.581.693.073
547,N00635F,430.819.935,4.581.650.051
548,N00636G,430.788.191,4.581.704.676
549,N00637H,430.828.953,4.581.681.622
550,N00638I,430.943.522,4.581.721.015
551,N00639J,431.019.644,4.581.750.732
552,N00640C,430.692.232,4581892.73
553,N00641D,431218.34,4.581.766.932
554,N00642E,431.149.022,4581792.15
555,N00643F,431.130.367,4.581.759.887
556,N00644G,431.107.567,4581735.25
557,N00645H,431.206.711,4.581.690.828
558,N00646I,431.178.632,4.581.716.185
559,N00647J,431.167.972,4581726.45
560,N00648K,431.256.677,4.581.732.673
561,N00649L,431291.8,4.581.698.458
562,N00650E,431.264.747,4.581.672.813
563,N00651F,431.249.216,4.581.688.803
564,N00652G,431.226.124,4.581.711.069
565,N00653H,431214.81,4.581.700.423
566,N00654I,431.231.233,4.581.670.384
567,N00655J,431.241.451,4.581.681.112
568,N00656K,431.248.095,4.581.656.417
569,N00657L,431.308.127,4.581.681.158
570,N00658M,431.282.872,4.581.653.722
571,N00659N,431.267.265,4.581.637.245
572,N00660G,431356,4.581.636.641
573,N00661H,431.069.483,4581700.09
574,N00662I,431.120.326,4.581.650.134
575,N00663J,431.175.562,4.581.668.381
576,N00665L,431.103.022,4.581.666.513
577,N00666M,431085.49,4581683.33
578,N00667N,431.044.633,4.581.725.589
579,N00668O,431.026.905,4.581.658.491
580,N00669P,431.023.891,4.581.732.286
581,N00671J,430.948.793,4.581.712.344
582,N00672K,430.744.694,4.581.607.441
583,N00673L,430765.11,4.581.618.924
584,N00674M,430.804.856,4.581.640.479
585,N00675N,430.891.471,4.581.685.742
586,N00676O,430.927.187,4.581.702.501
587,N00677P,430.254.023,4.581.924.541
588,N00679R,430.241.224,4.581.838.053
589,N00680K,430.651.905,4.581.795.237
590,N00681L,430.560.883,4.581.800.463
591,N00682M,430.441.365,4.581.812.948
592,N00683N,430.319.947,4.581.825.968
593,N00684O,430.280.198,4.581.831.668
594,N00685P,430.207.308,4.581.843.531
595,N00686Q,430.159.725,4.581.851.094
596,N00687R,430.086.467,4.581.742.382
597,N00688S,430163.32,4.581.768.359
598,N00689T,430.198.994,4.581.787.832
599,N00690M,430.227.671,4.581.808.333
600,N00691N,430.202.444,4.581.811.097
601,N00692O,430.230.319,4.581.822.184
602,N00693P,430.204.638,4.581.826.308
603,N00694Q,430.142.477,4.581.693.025
604,N00695R,430.147.961,4.581.698.096
605,N00696S,430.196.861,4581667.31
606,N00697T,430178.31,4.581.647.752
607,N00698U,430.289.061,4.581.774.192
608,N00699V,430.392.602,4.581.633.276
609,N00700X,430.704.395,4.581.686.153
610,N00701Y,430.592.229,4.581.733.357
611,N00702Z,430.544.662,4.581.695.561
612,N00705C,430.531.084,4.581.708.184
613,N00706D,430.488.759,4.581.748.829
614,N00707E,430.556.507,4.581.727.917
615,N00708F,430402.92,4.580.716.605
616,N00709G,430.474.898,4.580.816.716
617,N00710Z,430.486.694,4.580.829.252
618,N00711A,430.518.891,4.580.874.169
619,N00712B,430.537.014,4.580.888.979
620,N00713C,430.589.431,4.580.947.049
621,N00717G,430.688.031,4581074.44
622,N00718H,430.705.924,4.581.095.205
623,N00719I,430.726.261,4.581.119.835
624,N00720B,430772.52,4.581.172.977
625,N00721C,430.784.679,4.581.190.316
626,N00722D,430.816.413,4.581.240.004
627,N00723E,430.829.035,4.581.264.004
628,N00724F,430.875.228,4.581.395.545
629,N00725G,430.737.758,4.581.037.206
630,N00727I,430.939.585,4.581.293.196
631,N00728J,430.870.576,4581206.91
632,N00729K,430.833.529,4581158.35
633,N00730D,430.904.362,4.581.186.327
634,N00731E,430.665.451,4.581.335.711
635,N00732F,430651.93,4.581.244.982
636,N00733G,430.574.497,4.581.200.191
637,N00737K,430.641.461,4.581.125.339
638,N00738L,430.701.325,4.581.161.697
639,N00745K,430.478.025,4.581.053.535
640,N00747M,430.496.732,4.581.034.995
641,N00749O,430.988.451,4.581.214.671
642,N00750H,430.914.174,4.581.120.716
643,N00751I,430.874.957,4.581.071.715
644,N00752J,430.837.055,4.581.025.023
645,N00753K,430.805.191,4580985.37
646,N00754L,430.766.197,4.580.935.977
647,N00755M,431.055.778,4.581.118.624
648,N00756N,431.015.171,4.581.065.032
649,N00757O,430.972.062,4580995
650,N00758P,430.944.568,4.580.961.198
651,N00759Q,430.928.438,4.580.944.773
652,N00760J,430.889.648,4.580.894.486
653,N00761K,431.105.203,4.581.014.297
654,N00762L,431.009.273,4.580.956.939
655,N00763M,431.018.722,4.580.947.469
656,N00764N,431.005.091,4.580.903.879
657,N00765O,430.994.453,4.580.865.938
658,N00766P,431.075.522,4.580.891.735
659,N00767Q,430.535.338,4.580.997.747
660,N00768R,430.458.589,4.580.925.713
661,N00769S,430.358.727,4.581.168.088
662,N00770L,430.274.374,4.581.082.193
663,N00772N,430.448.809,4.581.080.829
664,N00773O,430.369.825,4.581.000.106
665,N00774P,430.333.122,4.580.955.295
666,N00775Q,430.267.627,4.580.877.702
