vehicle_identifier, vehicle_identification_number, gps_lat, gps_lng, battery_charge, vehicle_status, created_on
4780-LMH,UCYS01S0ZMB000392,41.404915,2.200695,94,TRAVELLING,2021-03-11 12:47:17.046742+00
4780-LMH,UCYS01S0ZMB000392,41.404402,2.20131,94,TRAVELLING,2021-03-11 12:47:30.073717+00
4780-LMH,UCYS01S0ZMB000392,41.403865,2.202027,94,TRAVELLING,2021-03-11 12:47:37.408018+00
4780-LMH,UCYS01S0ZMB000392,41.40357,2.202416,94,TRAVELLING,2021-03-11 12:47:47.158821+00
4780-LMH,UCYS01S0ZMB000392,41.403573,2.202419,94,TRAVELLING,2021-03-11 12:47:48.55482+00
4780-LMH,UCYS01S0ZMB000392,41.402958,2.203235,94,TRAVELLING,2021-03-11 12:48:05.464843+00
4780-LMH,UCYS01S0ZMB000392,41.402811,2.203378,94,TRAVELLING,2021-03-11 12:48:16.860341+00
4780-LMH,UCYS01S0ZMB000392,41.40277,2.203589,94,TRAVELLING,2021-03-11 12:48:26.487879+00
4780-LMH,UCYS01S0ZMB000392,41.402747,2.203622,94,TRAVELLING,2021-03-11 12:48:35.804079+00
4780-LMH,UCYS01S0ZMB000392,41.402227,2.204403,94,TRAVELLING,2021-03-11 12:48:49.43496+00
4780-LMH,UCYS01S0ZMB000392,41.401851,2.204955,94,TRAVELLING,2021-03-11 12:49:01.585372+00
4780-LMH,UCYS01S0ZMB000392,41.40184,2.204973,94,TRAVELLING,2021-03-11 12:49:12.785272+00
4780-LMH,UCYS01S0ZMB000392,41.401167,2.20589,94,TRAVELLING,2021-03-11 12:49:27.411109+00
4780-LMH,UCYS01S0ZMB000392,41.400726,2.206498,93,TRAVELLING,2021-03-11 12:49:36.672467+00
4780-LMH,UCYS01S0ZMB000392,41.400677,2.206545,93,TRAVELLING,2021-03-11 12:49:51.539285+00
4780-LMH,UCYS01S0ZMB000392,41.400673,2.206554,93,TRAVELLING,2021-03-11 12:49:55.633725+00
4780-LMH,UCYS01S0ZMB000392,41.400667,2.206566,93,TRAVELLING,2021-03-11 12:49:57.28827+00
4780-LMH,UCYS01S0ZMB000392,41.400667,2.206567,93,TRAVELLING,2021-03-11 12:49:59.926979+00
4780-LMH,UCYS01S0ZMB000392,41.400665,2.206577,93,TRAVELLING,2021-03-11 12:50:03.328369+00
4780-LMH,UCYS01S0ZMB000392,41.400383,2.207041,93,TRAVELLING,2021-03-11 12:50:15.40087+00
4780-LMH,UCYS01S0ZMB000392,41.40069,2.207474,93,TRAVELLING,2021-03-11 12:50:24.51084+00
4780-LMH,UCYS01S0ZMB000392,41.401202,2.208238,93,TRAVELLING,2021-03-11 12:50:39.444898+00
4780-LMH,UCYS01S0ZMB000392,41.401718,2.208856,93,TRAVELLING,2021-03-11 12:50:50.54973+00
4780-LMH,UCYS01S0ZMB000392,41.401796,2.208884,93,TRAVELLING,2021-03-11 12:51:05.630976+00
4780-LMH,UCYS01S0ZMB000392,41.401872,2.208902,93,TRAVELLING,2021-03-11 12:51:20.498183+00
4780-LMH,UCYS01S0ZMB000392,41.401925,2.208916,93,TRAVELLING,2021-03-11 12:51:35.395042+00
4780-LMH,UCYS01S0ZMB000392,41.401955,2.208952,93,TRAVELLING,2021-03-11 12:51:50.277163+00
4780-LMH,UCYS01S0ZMB000392,41.401957,2.208996,93,TRAVELLING,2021-03-11 12:51:58.947926+00
4780-LMH,UCYS01S0ZMB000392,41.402148,2.209249,93,TRAVELLING,2021-03-11 12:52:13.854359+00
4780-LMH,UCYS01S0ZMB000392,41.402348,2.209537,93,TRAVELLING,2021-03-11 12:52:28.35823+00
4780-LMH,UCYS01S0ZMB000392,41.402376,2.209547,93,TRAVELLING,2021-03-11 12:52:30.629975+00
4780-LMH,UCYS01S0ZMB000392,41.40238,2.209545,93,TRAVELLING,2021-03-11 12:52:32.052049+00
